City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rawson,AR,2021-09-17 00:09:05,-43.3002,-65.1023,59.38,46,99,12.19
1,Punta Arenas,CL,2021-09-17 00:09:05,-53.15,-70.9167,37.51,93,90,8.05
2,Hilo,US,2021-09-17 00:05:31,19.7297,-155.09,85.28,73,90,9.22
3,Sobolevo,RU,2021-09-17 00:09:06,54.4299,31.8996,40.28,76,99,5.79
4,Saint Anthony,US,2021-09-17 00:07:41,45.0205,-93.218,85.17,51,1,10.0
5,East London,ZA,2021-09-17 00:09:06,-33.0153,27.9116,57.18,64,64,14.41
6,Balabac,PH,2021-09-17 00:09:06,7.9868,117.0645,79.48,82,100,3.36
7,Rikitea,PF,2021-09-17 00:09:06,-23.1203,-134.9692,74.28,71,52,14.29
8,Pyaozerskiy,RU,2021-09-17 00:09:07,65.8333,31.1667,40.33,86,87,5.95
9,Mataura,NZ,2021-09-17 00:04:20,-46.1927,168.8643,45.48,51,32,6.13
10,Upernavik,GL,2021-09-17 00:09:07,72.7868,-56.1549,26.64,67,100,4.76
11,Kungurtug,RU,2021-09-17 00:09:07,50.5994,97.5228,43.5,59,93,1.05
12,Arkhangelsk,RU,2021-09-17 00:07:08,64.5401,40.5433,39.31,100,75,2.24
13,Haines Junction,CA,2021-09-17 00:09:07,60.7522,-137.5108,48.6,56,100,4.76
14,Clyde River,CA,2021-09-17 00:06:36,70.4692,-68.5914,29.41,78,99,6.26
15,Lilongwe,MW,2021-09-17 00:09:08,-13.9669,33.7873,71.11,46,66,2.64
16,Vaini,TO,2021-09-17 00:06:43,-21.2,-175.2,76.77,80,0,12.59
17,Saint George,US,2021-09-17 00:07:30,37.1041,-113.5841,97.27,11,1,1.01
18,Tambopata,PE,2021-09-17 00:09:08,-12.7333,-69.1833,71.49,88,75,1.14
19,Nome,US,2021-09-17 00:09:08,64.5011,-165.4064,48.16,66,90,6.91
20,Labuhan,ID,2021-09-17 00:09:08,-6.8844,112.2051,79.75,79,42,7.49
21,Atuona,PF,2021-09-17 00:09:09,-9.8,-139.0333,77.23,79,18,15.9
22,Jamestown,US,2021-09-17 00:05:42,42.097,-79.2353,69.12,82,1,5.01
23,Puerto Ayora,EC,2021-09-17 00:09:09,-0.7393,-90.3518,67.55,96,64,1.99
24,Busselton,AU,2021-09-17 00:09:09,-33.65,115.3333,46.04,66,95,6.17
25,Ushuaia,AR,2021-09-17 00:06:49,-54.8,-68.3,35.26,69,40,3.44
26,Port Blair,IN,2021-09-17 00:09:09,11.6667,92.75,78.15,85,90,7.05
27,Hermanus,ZA,2021-09-17 00:09:10,-34.4187,19.2345,49.8,75,40,8.16
28,Cape Town,ZA,2021-09-17 00:04:44,-33.9258,18.4232,55.89,77,0,4.0
29,Geraldton,AU,2021-09-17 00:09:10,-28.7667,114.6,54.01,87,75,0.0
30,Albany,US,2021-09-17 00:07:07,42.6001,-73.9662,70.81,87,58,3.24
31,Sterling,US,2021-09-17 00:06:36,39.0062,-77.4286,73.63,96,75,0.0
32,Ninghai,CN,2021-09-17 00:09:10,29.2892,121.4247,75.94,82,41,3.33
33,Ponta Do Sol,PT,2021-09-17 00:09:10,32.6667,-17.1,74.03,69,24,6.55
34,Saint-Philippe,RE,2021-09-17 00:09:11,-21.3585,55.7679,69.35,82,43,6.82
35,Kaitangata,NZ,2021-09-17 00:09:11,-46.2817,169.8464,45.61,53,98,7.58
36,Inuvik,CA,2021-09-17 00:09:11,68.3499,-133.7218,57.24,46,28,9.69
37,Usinsk,RU,2021-09-17 00:09:11,65.9939,57.5281,39.61,64,98,15.5
38,Georgetown,MY,2021-09-17 00:07:13,5.4112,100.3354,80.89,82,20,3.44
39,Kendari,ID,2021-09-17 00:09:12,-3.945,122.4989,75.61,92,99,3.0
40,Mayumba,GA,2021-09-17 00:09:12,-3.432,10.6554,75.29,91,64,2.15
41,Fortuna,US,2021-09-17 00:09:12,40.5982,-124.1573,83.19,65,1,1.99
42,Severo-Kurilsk,RU,2021-09-17 00:08:00,50.6789,156.125,53.67,69,5,6.67
43,Bethel,US,2021-09-17 00:06:32,41.3712,-73.414,71.91,86,90,1.01
44,Otane,NZ,2021-09-17 00:09:12,-39.8833,176.6333,52.02,81,100,12.88
45,Klaksvik,FO,2021-09-17 00:09:13,62.2266,-6.589,54.52,97,100,32.08
46,Smoky Lake,CA,2021-09-17 00:09:11,54.1169,-112.4686,56.48,40,100,15.73
47,Noumea,NC,2021-09-17 00:09:13,-22.2763,166.4572,76.98,57,59,10.38
48,Hithadhoo,MV,2021-09-17 00:09:13,-0.6,73.0833,83.23,72,100,9.57
49,Shibukawa,JP,2021-09-17 00:09:14,36.4833,139.0,75.13,74,87,2.39
50,Bluff,NZ,2021-09-17 00:09:14,-46.6,168.3333,45.81,53,83,13.15
51,Hobart,AU,2021-09-17 00:07:12,-42.8794,147.3294,55.26,62,20,4.0
52,Castro,BR,2021-09-17 00:09:15,-24.7911,-50.0119,53.87,97,100,8.79
53,Lagoa,PT,2021-09-17 00:04:42,39.05,-27.9833,70.21,90,51,17.34
54,Bollnas,SE,2021-09-17 00:09:15,61.3482,16.3946,47.12,94,100,3.6
55,Lavrentiya,RU,2021-09-17 00:09:15,65.5833,-171.0,37.4,60,93,4.03
56,Pisco,PE,2021-09-17 00:09:15,-13.7,-76.2167,62.65,77,0,14.97
57,Grindavik,IS,2021-09-17 00:09:16,63.8424,-22.4338,45.07,93,75,18.41
58,Camacupa,AO,2021-09-17 00:09:16,-12.0167,17.4833,66.29,21,22,1.59
59,Longyearbyen,SJ,2021-09-17 00:04:37,78.2186,15.6401,40.84,81,75,5.75
60,North Platte,US,2021-09-17 00:09:16,41.1239,-100.7654,89.49,37,1,5.01
61,Khandyga,RU,2021-09-17 00:09:16,62.6667,135.6,55.96,59,100,5.66
62,Katsuura,JP,2021-09-17 00:09:17,35.1333,140.3,71.64,73,100,8.7
63,Savannah Bight,HN,2021-09-17 00:09:17,16.45,-85.85,84.99,83,60,30.29
64,Sao Filipe,CV,2021-09-17 00:09:17,14.8961,-24.4956,80.08,81,100,10.22
65,Bathsheba,BB,2021-09-17 00:09:17,13.2167,-59.5167,84.81,74,75,17.27
66,Qaanaaq,GL,2021-09-17 00:06:40,77.484,-69.3632,19.74,83,99,4.81
67,Havelock,US,2021-09-17 00:09:18,34.8791,-76.9013,79.02,90,99,6.89
68,Waverly,US,2021-09-17 00:09:18,42.7392,-84.6208,69.96,75,0,8.43
69,Zboriste,BA,2021-09-17 00:09:18,45.1458,16.0178,63.72,87,89,3.56
70,Bredasdorp,ZA,2021-09-17 00:09:18,-34.5322,20.0403,49.28,84,8,4.47
71,Airai,TL,2021-09-17 00:09:19,-8.9266,125.4092,70.86,33,63,4.43
72,Ebolowa,CM,2021-09-17 00:09:19,2.9,11.15,68.83,100,99,1.32
73,Hauterive,FR,2021-09-17 00:09:19,46.0901,3.4459,65.16,97,50,0.72
74,Cap Malheureux,MU,2021-09-17 00:09:19,-19.9842,57.6142,69.48,89,23,1.99
75,Te Anau,NZ,2021-09-17 00:09:20,-45.4167,167.7167,39.7,86,76,1.63
76,Avarua,CK,2021-09-17 00:09:20,-21.2078,-159.775,75.25,88,75,23.02
77,Thompson,CA,2021-09-17 00:09:20,55.7435,-97.8558,48.36,87,90,2.3
78,Honiara,SB,2021-09-17 00:09:20,-9.4333,159.95,86.4,65,86,7.49
79,Tiksi,RU,2021-09-17 00:04:36,71.6872,128.8694,39.88,91,99,9.04
80,Susanville,US,2021-09-17 00:09:21,40.4163,-120.653,83.82,21,1,1.01
81,Bengkulu,ID,2021-09-17 00:09:21,-3.8004,102.2655,75.99,86,16,4.27
82,Mar Del Plata,AR,2021-09-17 00:04:24,-38.0023,-57.5575,57.22,72,0,9.22
83,Kapaa,US,2021-09-17 00:07:55,22.0752,-159.319,84.52,72,1,3.0
84,Barrow,US,2021-09-17 00:09:21,71.2906,-156.7887,35.62,93,90,10.36
85,Tasiilaq,GL,2021-09-17 00:09:21,65.6145,-37.6368,35.76,66,7,4.59
86,Qui Nhon,VN,2021-09-17 00:09:22,13.7667,109.2333,79.75,86,75,3.09
87,Koslan,RU,2021-09-17 00:09:22,63.4564,48.8989,40.93,95,100,7.16
88,Paulo Afonso,BR,2021-09-17 00:09:22,-9.4061,-38.2147,72.88,70,10,10.96
89,Assiniboia,CA,2021-09-17 00:09:22,49.6334,-105.9845,57.27,29,45,23.58
90,Karratha,AU,2021-09-17 00:09:23,-20.7377,116.8463,72.34,31,55,10.83
91,Cedar City,US,2021-09-17 00:07:31,37.6775,-113.0619,79.77,9,1,17.27
92,Cidreira,BR,2021-09-17 00:09:23,-30.1811,-50.2056,59.81,68,84,15.12
93,Portland,US,2021-09-17 00:06:11,45.5234,-122.6762,77.97,26,1,1.99
94,Ayr,GB,2021-09-17 00:09:23,55.4627,-4.6339,63.1,82,40,17.27
95,Ouesso,CG,2021-09-17 00:09:23,1.6136,16.0517,68.23,98,100,3.83
96,Yellowknife,CA,2021-09-17 00:09:24,62.456,-114.3525,46.54,44,77,5.19
97,Lebu,CL,2021-09-17 00:09:24,-37.6167,-73.65,49.14,90,0,8.14
98,Quatre Cocos,MU,2021-09-17 00:08:01,-20.2078,57.7625,69.1,83,33,3.09
99,Port Elizabeth,ZA,2021-09-17 00:07:48,-33.918,25.5701,52.11,76,39,13.65
100,Arraial Do Cabo,BR,2021-09-17 00:09:24,-22.9661,-42.0278,69.93,92,100,18.75
101,Havoysund,NO,2021-09-17 00:09:24,70.9963,24.6622,43.68,69,100,14.45
102,Kodiak,US,2021-09-17 00:08:48,57.79,-152.4072,51.31,93,90,14.97
103,Russkaya Polyana,UA,2021-09-17 00:09:25,49.417,31.9201,53.4,56,53,5.88
104,Saint-Leu,RE,2021-09-17 00:09:25,-21.15,55.2833,68.83,71,7,2.93
105,Michigan City,US,2021-09-17 00:05:24,41.7075,-86.895,77.02,55,1,0.0
106,Okhotsk,RU,2021-09-17 00:07:58,59.3833,143.3,54.21,85,100,29.19
107,Semporna,MY,2021-09-17 00:09:25,4.4818,118.6112,79.03,83,100,6.51
108,San Cristobal,VE,2021-09-17 00:04:42,7.7669,-72.225,66.45,98,70,3.44
109,Nemuro,JP,2021-09-17 00:06:44,43.3236,145.575,57.63,68,100,14.23
110,Gornyy,RU,2021-09-17 00:09:26,55.1153,83.9059,54.79,66,88,11.48
111,Coahuayana,MX,2021-09-17 00:09:26,18.7333,-103.6833,81.88,86,93,3.42
112,Tuktoyaktuk,CA,2021-09-17 00:09:26,69.4541,-133.0374,49.75,69,70,9.93
113,Myrtle Beach,US,2021-09-17 00:06:20,33.6891,-78.8867,80.64,82,75,3.44
114,Cherskiy,RU,2021-09-17 00:04:48,68.75,161.3,40.12,58,90,16.46
115,Batemans Bay,AU,2021-09-17 00:08:58,-35.7167,150.1833,65.19,50,0,5.55
116,Atambua,ID,2021-09-17 00:09:27,-9.1061,124.8925,81.81,48,73,3.09
117,Taltal,CL,2021-09-17 00:07:00,-25.4,-70.4833,60.19,71,21,4.18
118,Lahaina,US,2021-09-17 00:09:27,20.8783,-156.6825,91.4,73,39,9.06
119,Nanortalik,GL,2021-09-17 00:06:23,60.1432,-45.2371,39.43,87,100,7.27
120,Kahului,US,2021-09-17 00:09:27,20.8947,-156.47,91.42,52,40,27.63
121,Nipawin,CA,2021-09-17 00:09:27,53.3668,-104.0009,46.44,81,90,20.71
122,Souillac,MU,2021-09-17 00:09:28,-20.5167,57.5167,69.37,86,4,7.02
123,Barinas,VE,2021-09-17 00:09:28,8.6226,-70.2075,74.95,89,52,3.74
124,Port Alfred,ZA,2021-09-17 00:09:28,-33.5906,26.891,54.39,76,37,16.31
125,Ust-Nera,RU,2021-09-17 00:09:28,64.5667,143.2,55.04,45,48,3.44
126,Cayenne,GF,2021-09-17 00:09:29,4.9333,-52.3333,84.09,80,0,4.0
127,Lorengau,PG,2021-09-17 00:07:15,-2.0226,147.2712,83.64,70,54,11.27
128,Butaritari,KI,2021-09-17 00:09:29,3.0707,172.7902,82.31,76,53,15.99
129,Nikolskoye,RU,2021-09-17 00:09:29,59.7035,30.7861,41.02,93,43,1.34
130,Khatanga,RU,2021-09-17 00:09:29,71.9667,102.5,31.77,89,100,3.6
131,Casper,US,2021-09-17 00:09:30,42.8666,-106.3131,80.51,23,1,26.46
132,Dinard,FR,2021-09-17 00:09:30,48.6314,-2.0614,58.41,90,90,0.0
133,Victoria,HK,2021-09-17 00:05:24,22.2855,114.1577,84.96,82,52,1.01
134,New Norfolk,AU,2021-09-17 00:09:30,-42.7826,147.0587,54.91,61,30,1.99
135,Hasaki,JP,2021-09-17 00:09:30,35.7333,140.8333,70.2,66,100,8.81
136,Vila Velha,BR,2021-09-17 00:05:23,-20.3297,-40.2925,74.68,86,73,1.59
137,Cortes,ES,2021-09-17 00:09:31,41.9395,-1.4396,64.45,70,11,8.77
138,Beian,NO,2021-09-17 00:09:31,63.6559,9.5683,56.01,76,75,12.66
139,Taoudenni,ML,2021-09-17 00:09:31,22.6783,-3.9836,96.4,22,79,10.02
140,Basoko,CD,2021-09-17 00:09:31,1.2391,23.616,70.61,96,100,3.89
141,Alpena,US,2021-09-17 00:09:32,45.0617,-83.4327,68.14,83,1,4.0
142,Tura,IN,2021-09-17 00:09:32,25.5198,90.2201,71.73,95,94,3.27
143,Riyadh,SA,2021-09-17 00:09:32,24.6877,46.7219,77.14,15,18,9.26
144,Constantine,DZ,2021-09-17 00:09:28,36.365,6.6147,82.02,30,88,5.3
145,Mahebourg,MU,2021-09-17 00:05:38,-20.4081,57.7,69.26,83,21,5.48
146,Marrakesh,MA,2021-09-17 00:09:32,31.6315,-8.0083,71.67,64,20,6.91
147,Chokurdakh,RU,2021-09-17 00:09:33,70.6333,147.9167,41.5,77,99,2.15
148,Muros,ES,2021-09-17 00:09:33,42.7762,-9.0603,65.23,88,1,3.71
149,Pecos,US,2021-09-17 00:06:57,31.4229,-103.4932,95.09,23,1,9.22
150,Winnipeg,CA,2021-09-17 00:07:41,49.8844,-97.147,57.25,53,100,8.59
151,Antalaha,MG,2021-09-17 00:09:33,-14.9003,50.2788,70.61,80,68,4.25
152,Kruisfontein,ZA,2021-09-17 00:09:33,-34.0033,24.7314,49.89,80,6,9.93
153,Carnarvon,AU,2021-09-17 00:09:34,-24.8667,113.6333,59.92,57,10,19.33
154,Camocim,BR,2021-09-17 00:09:34,-2.9022,-40.8411,79.41,83,16,13.65
155,Norman Wells,CA,2021-09-17 00:09:34,65.282,-126.8329,55.47,56,11,9.78
156,Harper,LR,2021-09-17 00:09:34,4.375,-7.7169,77.05,87,94,9.22
157,Ilulissat,GL,2021-09-17 00:09:35,69.2167,-51.1,21.22,63,0,4.61
158,Igreja Nova,BR,2021-09-17 00:09:35,-10.1253,-36.6619,70.48,94,50,4.09
159,Buala,SB,2021-09-17 00:09:35,-8.145,159.5921,84.85,67,77,8.43
160,Valparaiso,CL,2021-09-17 00:06:07,-33.0393,-71.6273,56.84,76,0,5.75
161,Hammerfest,NO,2021-09-17 00:09:35,70.6634,23.6821,43.25,70,0,8.05
162,Ribeira Grande,PT,2021-09-17 00:05:44,38.5167,-28.7,72.1,86,96,5.59
163,Mount Isa,AU,2021-09-17 00:09:36,-20.7333,139.5,85.77,19,2,14.97
164,Toguchin,RU,2021-09-17 00:09:36,55.2353,84.3858,51.53,71,90,8.16
165,Kalmunai,LK,2021-09-17 00:09:36,7.4167,81.8167,79.54,83,100,4.32
166,Bad Salzungen,DE,2021-09-17 00:09:36,50.8167,10.2333,54.95,96,23,3.2
167,Kloulklubed,PW,2021-09-17 00:06:51,7.0419,134.2556,78.3,86,100,9.35
168,Hit,IQ,2021-09-17 00:09:37,33.6416,42.8251,82.08,38,0,9.15
169,Eydhafushi,MV,2021-09-17 00:09:37,5.1033,73.0708,82.45,75,88,12.62
170,Copiapo,CL,2021-09-17 00:09:37,-27.3667,-70.3333,51.49,53,1,1.68
171,Jiuquan,CN,2021-09-17 00:06:52,39.7432,98.5174,65.75,34,16,1.12
172,Boda,CF,2021-09-17 00:07:10,4.3189,17.4695,67.08,95,99,4.25
173,Zheleznodorozhnyy,RU,2021-09-17 00:09:37,55.7503,38.0042,44.78,73,100,4.54
174,Teeli,RU,2021-09-17 00:09:38,51.0333,90.2333,49.37,45,89,2.66
175,Tigil,RU,2021-09-17 00:09:38,57.8,158.6667,52.02,74,100,9.73
176,Grand Island,US,2021-09-17 00:09:38,40.925,-98.342,88.09,44,1,8.99
177,Sola,VU,2021-09-17 00:09:38,-13.8833,167.55,79.2,77,33,14.0
178,Srandakan,ID,2021-09-17 00:09:39,-7.9386,110.2506,78.26,82,14,7.11
179,Casino,AU,2021-09-17 00:09:39,-28.8667,153.05,66.56,46,0,1.03
180,Beyneu,KZ,2021-09-17 00:09:39,45.3167,55.2,70.2,24,76,17.87
181,Shimoda,JP,2021-09-17 00:07:31,34.6667,138.95,70.16,85,100,9.8
182,Pop,UZ,2021-09-17 00:09:39,40.8736,71.1089,66.69,26,0,6.13
183,Amazar,RU,2021-09-17 00:09:40,53.858,120.875,45.1,89,87,2.75
184,Bambous Virieux,MU,2021-09-17 00:05:21,-20.3428,57.7575,69.22,83,30,4.29
185,Cabedelo,BR,2021-09-17 00:09:40,-6.9811,-34.8339,76.48,82,4,15.21
186,Vakhrushev,RU,2021-09-17 00:09:40,48.9833,142.9667,59.52,76,99,13.96
187,Salalah,OM,2021-09-17 00:05:30,17.0151,54.0924,77.09,100,20,2.3
188,Bobcaygeon,CA,2021-09-17 00:09:40,44.5462,-78.542,61.88,74,28,5.61
189,Hong Gai,VN,2021-09-17 00:09:41,20.956,107.0946,78.71,85,97,3.31
190,Hambantota,LK,2021-09-17 00:09:41,6.1241,81.1185,79.39,85,96,11.12
191,Thongwa,MM,2021-09-17 00:09:41,16.7619,96.5278,77.16,96,100,5.44
192,Richards Bay,ZA,2021-09-17 00:07:18,-28.783,32.0377,60.71,88,100,12.35
193,Varnavino,RU,2021-09-17 00:09:41,57.4035,45.0916,42.12,66,100,5.5
194,Chifeng,CN,2021-09-17 00:09:42,42.2683,118.9636,59.68,55,0,3.91
195,Gat,IL,2021-09-17 00:08:00,31.61,34.7642,72.39,71,0,1.83
196,Rimbey,CA,2021-09-17 00:09:42,52.6334,-114.2353,53.62,39,64,11.18
197,Nijar,ES,2021-09-17 00:09:42,36.9665,-2.206,68.65,78,0,4.61
198,Ilheus,BR,2021-09-17 00:09:42,-14.7889,-39.0494,72.36,87,50,5.97
199,Killam,CA,2021-09-17 00:09:43,52.7834,-111.8518,54.86,36,100,16.78
200,Beringovskiy,RU,2021-09-17 00:09:43,63.05,179.3167,40.71,60,95,20.87
201,Salym,RU,2021-09-17 00:09:43,60.0625,71.4789,42.42,94,99,8.37
202,Shelburne,CA,2021-09-17 00:09:21,44.0787,-80.2041,62.74,78,10,7.05
203,Ugoofaaru,MV,2021-09-17 00:07:52,5.6667,73.0,82.2,76,72,12.39
204,Suntar,RU,2021-09-17 00:09:43,62.1444,117.6319,40.78,80,100,6.13
205,Provideniya,RU,2021-09-17 00:09:44,64.3833,-173.3,39.31,65,75,8.95
206,Alofi,NU,2021-09-17 00:09:44,-19.0595,-169.9187,77.99,79,5,19.15
207,Sindor,RU,2021-09-17 00:09:44,62.8629,51.8905,38.25,97,100,5.73
208,Koulikoro,ML,2021-09-17 00:09:44,14.0,-7.75,75.45,74,87,6.31
209,Doume,CM,2021-09-17 00:09:45,4.2333,13.45,68.76,98,100,1.95
210,Ilula,TZ,2021-09-17 00:09:45,-7.6766,36.0366,59.32,90,5,4.5
211,Broome,US,2021-09-17 00:09:45,42.2506,-75.833,70.02,72,90,1.99
212,Krasnokholmskiy,RU,2021-09-17 00:09:45,55.9873,55.0466,42.85,89,100,13.71
213,Kimbe,PG,2021-09-17 00:09:46,-5.5502,150.1429,88.23,55,58,3.53
214,Nara,JP,2021-09-17 00:04:55,34.6851,135.8049,72.68,78,100,9.46
215,San Patricio,US,2021-09-17 00:05:41,28.017,-97.5169,89.69,57,87,11.14
216,San Quintin,MX,2021-09-17 00:09:46,30.4833,-115.95,70.88,69,0,15.46
217,Springdale,US,2021-09-17 00:09:46,36.1867,-94.1288,84.31,52,1,8.05
218,Khakhea,BW,2021-09-17 00:09:46,-24.6895,23.494,48.76,22,4,8.34
219,Luderitz,NA,2021-09-17 00:04:56,-26.6481,15.1594,61.9,39,14,13.09
220,Camacha,PT,2021-09-17 00:09:47,33.0833,-16.3333,71.02,73,20,13.8
221,Calvinia,ZA,2021-09-17 00:08:11,-31.4707,19.776,45.75,70,0,6.33
222,Kijang,KR,2021-09-17 00:09:47,35.2442,129.2139,69.33,93,100,15.66
223,Yulara,AU,2021-09-17 00:09:47,-25.2406,130.9889,74.43,25,37,7.96
224,Kirillov,RU,2021-09-17 00:09:48,59.863,38.3813,36.52,91,98,3.36
225,Gold Coast,AU,2021-09-17 00:05:41,-28.0,153.4333,74.25,56,40,3.0
226,Los Llanos De Aridane,ES,2021-09-17 00:09:48,28.6585,-17.9182,71.35,72,90,11.5
227,Komsomolskiy,UZ,2021-09-17 00:09:48,40.4272,71.7189,65.62,25,0,0.89
228,Sisimiut,GL,2021-09-17 00:09:48,66.9395,-53.6735,33.75,57,91,8.37
229,Roma,US,2021-09-17 00:09:48,43.2128,-75.4557,66.06,83,1,6.91
230,Hovd,MN,2021-09-17 00:09:49,48.0056,91.6419,54.99,42,83,6.22
231,Weligama,LK,2021-09-17 00:05:47,5.9667,80.4167,78.31,89,100,7.9
232,Columbus,US,2021-09-17 00:09:49,39.9612,-82.9988,77.68,74,20,4.61
233,Huntingdon,GB,2021-09-17 00:09:49,52.3305,-0.1865,60.67,91,77,6.55
234,Misratah,LY,2021-09-17 00:09:50,32.3754,15.0925,77.9,60,0,9.95
235,Stornoway,GB,2021-09-17 00:09:50,58.2093,-6.3865,58.96,94,90,21.85
236,Seka,TH,2021-09-17 00:09:50,17.9285,103.9552,75.74,93,100,2.3
237,Saskylakh,RU,2021-09-17 00:09:50,71.9167,114.0833,33.75,97,100,18.63
238,Canalete,CO,2021-09-17 00:09:51,8.6761,-76.2042,77.05,89,71,6.49
239,Korla,CN,2021-09-17 00:09:51,41.7597,86.1469,68.61,35,84,5.12
240,Port Hedland,AU,2021-09-17 00:09:51,-20.3167,118.5667,68.05,64,4,6.91
241,Cabo San Lucas,MX,2021-09-17 00:09:51,22.8909,-109.9124,89.62,78,20,12.66
242,Iqaluit,CA,2021-09-17 00:09:51,63.7506,-68.5145,34.41,84,63,5.7
243,Broken Hill,AU,2021-09-17 00:09:52,-31.95,141.4333,74.43,25,82,28.52
244,Chuy,UY,2021-09-17 00:09:52,-33.6971,-53.4616,53.38,80,0,6.6
245,Loukhi,RU,2021-09-17 00:09:52,66.0764,33.0381,41.79,87,100,7.05
246,Nacozari,MX,2021-09-17 00:09:52,25.3366,-108.2574,92.1,71,49,8.72
247,Abu Zabad,SD,2021-09-17 00:09:53,12.35,29.25,76.64,66,76,4.9
248,Dikson,RU,2021-09-17 00:09:53,73.5069,80.5464,35.08,76,100,17.09
249,Tarauaca,BR,2021-09-17 00:08:22,-8.1614,-70.7656,73.31,93,35,2.13
250,Srednekolymsk,RU,2021-09-17 00:09:53,67.45,153.6833,51.62,54,78,7.61
251,Semey,KZ,2021-09-17 00:09:54,50.4111,80.2275,43.02,70,0,8.95
252,Umarkot,PK,2021-09-17 00:09:54,25.3616,69.7362,86.79,67,0,9.04
253,Itarema,BR,2021-09-17 00:07:39,-2.9248,-39.9167,79.09,85,0,16.24
254,Chapais,CA,2021-09-17 00:07:15,49.7834,-74.8492,54.36,68,21,6.33
255,Skovorodino,RU,2021-09-17 00:09:54,53.9833,123.9167,42.93,79,100,1.07
256,Isla Mujeres,MX,2021-09-17 00:09:54,21.2311,-86.731,84.25,85,94,12.93
257,Ostrovnoy,RU,2021-09-17 00:09:43,68.0531,39.5131,41.47,87,90,10.71
258,Hobyo,SO,2021-09-17 00:05:08,5.3505,48.5268,77.23,88,46,23.51
259,Isangel,VU,2021-09-17 00:06:44,-19.55,169.2667,74.19,79,100,11.14
260,Genhe,CN,2021-09-17 00:09:55,50.7833,121.5167,50.58,78,11,6.15
261,Hofn,IS,2021-09-17 00:09:55,64.2539,-15.2082,52.29,98,100,12.75
262,Shouguang,CN,2021-09-17 00:09:55,36.88,118.7375,68.85,92,100,9.84
263,Karpathos,GR,2021-09-17 00:09:55,35.507,27.2132,75.16,69,0,17.27
264,Daru,PG,2021-09-17 00:09:56,-9.0763,143.2092,77.27,78,100,19.62
265,San Rafael,AR,2021-09-17 00:06:41,-34.6177,-68.3301,65.14,19,0,10.58
266,Yar-Sale,RU,2021-09-17 00:09:56,66.8333,70.8333,38.01,91,98,10.38
267,Kampene,CD,2021-09-17 00:09:56,-3.6,26.6667,67.69,96,100,1.61
268,Coxim,BR,2021-09-17 00:09:56,-18.5067,-54.76,88.52,41,67,4.99
269,Deputatskiy,RU,2021-09-17 00:09:57,69.3,139.9,41.65,76,100,1.86
270,Krasnyy Chikoy,RU,2021-09-17 00:09:57,50.3643,108.7512,50.34,81,73,1.92
271,Belmonte,BR,2021-09-17 00:09:57,-15.8631,-38.8828,73.13,85,37,7.74
