City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hilo,US,80.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Kulhudhuffushi,MV,82.09,broken clouds,6.6221,73.07,Hondaafushi Island Resort
18,Ponta Pora,BR,81.27,overcast clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
19,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Butaritari,KI,82.83,clear sky,3.0707,172.7902,Isles Sunset Lodge
34,Nouadhibou,MR,75.72,broken clouds,20.931,-17.0347,El Medina
35,Mangrol,IN,79.66,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
38,Itarema,BR,78.6,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Katsuura,JP,78.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
42,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
43,Sinnamary,GF,79.09,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Victoria,HK,87.96,broken clouds,22.2855,114.1577,Mini Hotel Central
52,Coahuayana,MX,78.28,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
54,Bengkulu,ID,77.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
59,Hithadhoo,MV,83.12,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Karratha,AU,82.36,clear sky,-20.7377,116.8463,ibis Styles Karratha
70,Atuona,PF,77.77,few clouds,-9.8,-139.0333,Villa Enata
80,Cockburn Town,TC,82.92,clear sky,21.4612,-71.1419,Osprey Beach Hotel
88,Bourail,NC,75.6,clear sky,-21.5667,165.4833,Motel Allamanda
91,Tabou,CI,76.89,light rain,4.423,-7.3528,hotêl doufoulougou
103,Vinukonda,IN,80.02,overcast clouds,16.05,79.75,VLS Residency
107,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
108,Basco,PH,84.51,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
115,Albemarle,US,79.68,clear sky,35.3501,-80.2001,"Holiday Inn Express & Suites Albemarle, an IHG Hotel"
121,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
125,Sosua,DO,78.78,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
128,Kerema,PG,81.52,light rain,-7.9631,145.7785,Frena Lodge
134,Najran,SA,77.04,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
136,Espirito Santo Do Pinhal,BR,75.72,broken clouds,-22.1158,-46.6828,MEGA Aluguel Apartamentos
140,Umm Lajj,SA,81.45,clear sky,25.0213,37.2685,Moon light Furnished Units
143,Eldorado,BR,80.83,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
144,Barao De Cocais,BR,76.15,broken clouds,-19.9458,-43.4872,Impar Suites Barao de Cocais
147,Neiafu,TO,79.02,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
148,Buraydah,SA,82.45,clear sky,26.326,43.975,فندق راحة السلام
153,Kieta,PG,84.25,light rain,-6.2167,155.6333,Uruna Bay Retreat
155,Pringsewu,ID,81.88,scattered clouds,-5.3582,104.9744,Urban Style by Front One
159,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
166,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
169,Alofi,NU,78.04,light rain,-19.0595,-169.9187,Taloa Heights
170,Hamilton,US,79.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
180,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
184,Marzuq,YE,83.12,overcast clouds,14.4,46.4667,
187,Jimani,DO,78.69,few clouds,18.4917,-71.8502,HOTEL LA TORRE
188,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
195,Zaranj,AF,79.43,overcast clouds,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
196,Nagato,JP,76.03,scattered clouds,34.3833,131.2,いそう庵
202,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
203,Martapura,ID,80.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
206,Balingasay,PH,83.34,few clouds,16.3573,119.8564,Rock Garden Resort
207,Port Blair,IN,81.43,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
210,Mao,ES,75.76,few clouds,39.8885,4.2658,ARTIEM Capri
213,Kombissiri,BF,75.51,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
215,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,ibis Balikpapan
216,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
222,Ewa Beach,US,83.08,broken clouds,21.3156,-158.0072,Uncle Junior Robert
224,Dingle,PH,83.1,few clouds,10.9995,122.6711,SEGAYA PROPERTY
230,Morehead,US,76.71,clear sky,37.2711,-87.1764,CCI Express Inn
233,Omboue,GA,75.25,overcast clouds,-1.5746,9.2618,Hotel Olako
234,Lorengau,PG,83.68,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
238,Atar,MR,84.25,broken clouds,20.5169,-13.0499,Oumou Elghoura
239,Kuah,MY,82.33,overcast clouds,6.3265,99.8432,Azio Hotel
244,Palu,ID,85.01,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
246,Sao Geraldo Do Araguaia,BR,86.72,scattered clouds,-6.4006,-48.555,SOLAR DO BARROSO
247,Balad,IQ,81.81,clear sky,34.0164,44.1453,رضاوي زنوبة
250,Rayong,TH,79.48,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
251,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
252,Kirkuk,IQ,78.91,clear sky,35.4681,44.3922,تل عبدالعزيز
259,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
262,Byron Bay,AU,76.95,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
263,Bandarbeyla,SO,79.0,overcast clouds,9.4942,50.8122,JABIR HOTEL
270,Namatanai,PG,84.15,light rain,-3.6667,152.4333,Seagulls Inn Namatani
272,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
277,Alpinopolis,BR,78.8,overcast clouds,-20.8636,-46.3881,Hotel Ventania
284,Harqalah,TN,78.66,clear sky,36.0303,10.509,Dar Khadija
285,Hecelchakan,MX,83.98,overcast clouds,20.1667,-90.1333,Departamentos X'Koom beek
291,Gondanglegi,ID,82.22,overcast clouds,-7.7479,112.0132,Ndoll Gondanglegi
294,Auki,SB,84.96,scattered clouds,-8.7676,160.7034,Auki Motel
295,Sao Filipe,CV,79.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
296,Eyl,SO,78.62,overcast clouds,7.9803,49.8164,Amiin Hotel
300,Lufkin,US,78.93,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
304,Chirongui,YT,76.93,broken clouds,-12.9319,45.1483,La Villa Mahatsara
307,Fukue,JP,75.72,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
308,Sola,VU,79.9,few clouds,-13.8833,167.55,Leumerus Bungalows
309,Maracaibo,VE,82.74,broken clouds,10.6317,-71.6406,Motel Aladdin
310,Chenghai,CN,84.45,clear sky,23.4632,116.768,Guangdong Hotel
316,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
320,Highland Springs,US,76.28,clear sky,37.546,-77.3278,Homewood Suites by Hilton Richmond - Airport
322,Reo,BF,78.17,clear sky,12.3167,-2.4667,Hôtel Deogratias
323,Payo,ID,78.1,broken clouds,-3.7508,103.6372,Mess keban agung
325,Manokwari,ID,81.93,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
327,San Pedro,PH,80.35,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
329,Tripoli,LY,85.01,clear sky,32.8752,13.1875,Hotel Al-Safwa
331,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
334,Rajanpur,PK,89.15,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
336,Cape Coast,GH,75.11,overcast clouds,5.1053,-1.2466,Samrit Hotel
337,Banjar,ID,82.26,few clouds,-8.19,114.9675,The Hamsa Resort
338,Ugoofaaru,MV,82.45,scattered clouds,5.6667,73.0,Ungoofaaru Inn
339,Machesney Park,US,76.06,clear sky,42.3472,-89.039,"Riverview Inn & Suites, a member of the Ascend Collection"
340,Faanui,PF,77.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
341,Gold Coast,AU,81.77,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
