City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-09-18 02:18:45,-23.1203,-134.9692,72.3,75,98,11.12
1,Jawhar,SO,2021-09-18 02:18:45,2.7809,45.5005,75.0,82,62,10.94
2,Bluff,NZ,2021-09-18 02:18:45,-46.6,168.3333,54.81,61,8,7.61
3,Vaini,TO,2021-09-18 02:18:45,-21.2,-175.2,76.96,80,10,5.66
4,Port Elizabeth,ZA,2021-09-18 02:18:46,-33.918,25.5701,48.09,72,7,5.59
5,Barrow,US,2021-09-18 02:18:46,71.2906,-156.7887,30.27,87,100,7.76
6,Ilulissat,GL,2021-09-18 02:18:46,69.2167,-51.1,12.88,70,0,6.62
7,Horta,PT,2021-09-18 02:14:07,38.5333,-28.6333,68.22,80,98,6.53
8,Inirida,CO,2021-09-18 02:16:10,3.8653,-67.9239,74.05,94,37,2.57
9,Sardarshahr,IN,2021-09-18 02:18:46,28.4333,74.4833,80.31,71,0,3.62
10,Broome,US,2021-09-18 02:18:47,42.2506,-75.833,70.61,78,38,1.01
11,Torbay,CA,2021-09-18 02:18:47,47.6666,-52.7314,55.27,86,90,4.0
12,Nhamunda,BR,2021-09-18 02:18:47,-2.1861,-56.7131,73.81,92,14,2.19
13,Northam,GB,2021-09-18 02:18:47,51.0333,-4.2167,60.67,94,100,3.87
14,Cape Town,ZA,2021-09-18 02:18:47,-33.9258,18.4232,55.89,76,0,1.99
15,Bastia,FR,2021-09-18 02:18:48,42.6667,9.3333,73.29,78,1,10.0
16,Port Alfred,ZA,2021-09-18 02:18:48,-33.5906,26.891,55.38,62,48,4.21
17,Solna,SK,2021-09-18 02:18:48,49.2231,18.7394,55.6,95,100,1.7
18,Ponta Do Sol,PT,2021-09-18 02:18:49,32.6667,-17.1,74.01,80,52,2.24
19,Kapaa,US,2021-09-18 02:17:28,22.0752,-159.319,79.12,59,100,4.0
20,Ushuaia,AR,2021-09-18 02:18:49,-54.8,-68.3,34.72,89,97,3.67
21,Busselton,AU,2021-09-18 02:18:49,-33.65,115.3333,61.05,76,61,16.28
22,Mar Del Plata,AR,2021-09-18 02:18:49,-38.0023,-57.5575,52.77,87,3,10.45
23,Ewa Beach,US,2021-09-18 02:18:50,21.3156,-158.0072,82.09,70,100,20.89
24,Nikolskoye,RU,2021-09-18 02:18:50,59.7035,30.7861,44.02,62,100,3.33
25,Carnarvon,AU,2021-09-18 02:18:50,-24.8667,113.6333,69.26,29,0,17.94
26,Hobart,AU,2021-09-18 02:15:04,-42.8794,147.3294,58.05,55,54,4.0
27,Benton Harbor,US,2021-09-18 02:18:51,42.1167,-86.4542,74.21,72,11,3.4
28,Washougal,US,2021-09-18 02:18:51,45.5826,-122.3534,75.6,55,100,5.01
29,Luderitz,NA,2021-09-18 02:18:51,-26.6481,15.1594,55.27,78,1,17.96
30,Sarangani,PH,2021-09-18 02:18:51,5.4033,125.4636,82.45,74,100,12.26
31,Mantua,IT,2021-09-18 02:14:33,45.1667,10.7833,70.09,86,4,5.01
32,Bambanglipuro,ID,2021-09-18 02:18:51,-7.95,110.2833,83.19,68,34,12.86
33,Areia Branca,BR,2021-09-18 02:18:52,-4.9561,-37.1369,76.84,73,91,16.55
34,Castro,BR,2021-09-18 02:18:52,-24.7911,-50.0119,57.83,98,100,3.67
35,Araioses,BR,2021-09-18 02:18:52,-2.89,-41.9031,79.57,78,46,10.63
36,Mpanda,TZ,2021-09-18 02:18:52,-6.3655,31.0409,72.72,58,88,3.11
37,Butaritari,KI,2021-09-18 02:18:53,3.0707,172.7902,82.44,74,20,13.78
38,Lasa,IT,2021-09-18 02:18:53,46.6166,10.7002,59.61,87,52,2.91
39,Kaitangata,NZ,2021-09-18 02:18:53,-46.2817,169.8464,51.84,51,5,8.52
40,Prado,BR,2021-09-18 02:18:53,-17.3411,-39.2208,69.82,74,0,6.04
41,Albany,US,2021-09-18 02:18:06,42.6001,-73.9662,69.39,92,85,3.29
42,Dikson,RU,2021-09-18 02:18:54,73.5069,80.5464,33.33,76,19,21.85
43,Yumen,CN,2021-09-18 02:18:54,40.2833,97.2,70.56,25,24,19.73
44,Lebu,CL,2021-09-18 02:18:54,-37.6167,-73.65,50.02,85,100,9.26
45,Meulaboh,ID,2021-09-18 02:18:54,4.1363,96.1285,79.16,87,95,3.96
46,Cidreira,BR,2021-09-18 02:18:54,-30.1811,-50.2056,61.03,95,54,10.96
47,Poum,NC,2021-09-18 02:18:55,-20.2333,164.0167,71.24,57,2,15.39
48,Lodja,CD,2021-09-18 02:18:55,-3.4833,23.4333,68.94,96,87,2.44
49,Katsuura,JP,2021-09-18 02:18:55,35.1333,140.3,77.47,87,100,24.72
50,Atuona,PF,2021-09-18 02:18:55,-9.8,-139.0333,78.33,70,1,17.49
51,Puerto Ayora,EC,2021-09-18 02:18:56,-0.7393,-90.3518,67.55,97,86,4.0
52,Quelimane,MZ,2021-09-18 02:18:56,-17.8786,36.8883,74.32,83,83,9.62
53,Hilo,US,2021-09-18 02:18:56,19.7297,-155.09,86.29,84,100,3.0
54,Mao,ES,2021-09-18 02:18:56,39.8885,4.2658,74.44,76,0,6.62
55,Blyth,GB,2021-09-18 02:18:57,55.1271,-1.5086,58.33,88,100,2.57
56,Namangan,UZ,2021-09-18 02:18:57,40.9983,71.6726,71.64,17,0,3.6
57,Hasaki,JP,2021-09-18 02:18:57,35.7333,140.8333,76.17,88,100,25.97
58,Alice Springs,AU,2021-09-18 02:18:57,-23.7,133.8833,71.31,36,19,18.19
