City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,48.47,70,100,5.32,light rain
1,Yulara,AU,-25.2406,130.9889,73.54,30,0,14.05,clear sky
2,Cabo San Lucas,MX,22.8909,-109.9124,92.61,74,20,8.05,few clouds
3,Ilheus,BR,-14.7889,-39.0494,69.55,82,12,3.0,few clouds
4,Ushuaia,AR,-54.8,-68.3,38.86,70,0,3.44,clear sky
5,Hilo,US,19.7297,-155.09,80.62,69,30,3.0,light rain
6,Rocha,UY,-34.4833,-54.3333,54.95,98,2,5.73,clear sky
7,Jamestown,US,42.097,-79.2353,65.52,89,1,1.99,clear sky
8,Rikitea,PF,-23.1203,-134.9692,72.95,75,9,7.34,clear sky
9,Chokurdakh,RU,70.6333,147.9167,34.9,59,37,6.78,scattered clouds
10,Yellowknife,CA,62.456,-114.3525,45.01,71,100,16.17,overcast clouds
11,Mocuba,MZ,-16.8392,36.9856,68.5,73,75,5.17,broken clouds
12,Port Alfred,ZA,-33.5906,26.891,60.06,77,95,30.2,light rain
13,Kulhudhuffushi,MV,6.6221,73.07,82.09,77,56,9.17,broken clouds
14,Lagoa,PT,39.05,-27.9833,66.45,66,92,11.68,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,91,6,3.11,clear sky
16,San Luis,AR,-33.295,-66.3356,66.61,39,0,1.25,clear sky
17,Hermanus,ZA,-34.4187,19.2345,56.89,76,6,2.1,clear sky
18,Ponta Pora,BR,-22.5361,-55.7256,81.27,37,99,6.55,overcast clouds
19,Kapaa,US,22.0752,-159.319,84.18,67,20,4.0,few clouds
20,Bluff,NZ,-46.6,168.3333,48.79,78,100,14.03,light rain
21,Butaritari,KI,3.0707,172.7902,82.83,69,6,17.52,clear sky
22,Leningradskiy,RU,69.3833,178.4167,28.35,83,97,18.95,overcast clouds
23,Vaini,TO,-21.2,-175.2,71.76,94,90,10.36,moderate rain
24,Barrow,US,71.2906,-156.7887,35.62,80,90,13.8,overcast clouds
25,Carnarvon,AU,-24.8667,113.6333,68.07,42,0,18.41,clear sky
26,East London,ZA,-33.0153,27.9116,59.99,76,19,23.33,few clouds
27,Lebu,CL,-37.6167,-73.65,47.97,80,3,9.84,clear sky
28,Klaksvik,FO,62.2266,-6.589,54.52,88,100,22.53,overcast clouds
29,Doctor Arroyo,MX,23.6667,-100.1833,69.73,64,82,3.87,broken clouds
30,Daugavpils,LV,55.8833,26.5333,45.77,64,100,12.73,overcast clouds
31,Kaitangata,NZ,-46.2817,169.8464,54.84,56,100,7.74,light rain
32,Rorvik,NO,64.8621,11.2373,51.03,65,100,15.79,overcast clouds
33,Tommot,RU,58.9564,126.2925,42.69,64,15,10.47,few clouds
34,Nouadhibou,MR,20.931,-17.0347,75.72,78,73,8.37,broken clouds
35,Mangrol,IN,21.1167,70.1167,79.66,87,100,6.42,overcast clouds
36,Halifax,CA,44.6453,-63.5724,69.69,93,100,1.99,overcast clouds
37,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,18.41,overcast clouds
38,Itarema,BR,-2.9248,-39.9167,78.6,80,7,18.07,clear sky
39,Katsuura,JP,35.1333,140.3,78.91,72,93,26.04,overcast clouds
40,Upernavik,GL,72.7868,-56.1549,21.16,62,18,5.97,few clouds
41,Nizhniy Odes,RU,63.6445,54.856,33.73,82,100,13.09,overcast clouds
42,Touros,BR,-5.1989,-35.4608,77.9,76,8,16.71,clear sky
43,Sinnamary,GF,5.3833,-52.95,79.09,86,66,6.98,broken clouds
44,Bambous Virieux,MU,-20.3428,57.7575,68.22,82,66,8.39,broken clouds
